eBird_Clements_v2022,eBird_Clements_v2021,BirdLife_v3,BirdLife_v7,IOC_v13.1
Pampa curvipennis,Pampa curvipennis,Campylopterus curvipennis,Pampa curvipennis,Pampa curvipennis
Campylopterus largipennis,Campylopterus largipennis,Campylopterus largipennis,Campylopterus largipennis,Campylopterus largipennis
Pampa rufa,Pampa rufa,Campylopterus rufus,Pampa rufa,Pampa rufa
Campylopterus hyperythrus,Campylopterus hyperythrus,Campylopterus hyperythrus,Campylopterus hyperythrus,Campylopterus hyperythrus
Campylopterus duidae,Campylopterus duidae,Campylopterus duidae,Campylopterus duidae,Campylopterus duidae
Campylopterus hemileucurus,Campylopterus hemileucurus,Campylopterus hemileucurus,Campylopterus hemileucurus,Campylopterus hemileucurus
Campylopterus ensipennis,Campylopterus ensipennis,Campylopterus ensipennis,Campylopterus ensipennis,Campylopterus ensipennis
Campylopterus falcatus,Campylopterus falcatus,Campylopterus falcatus,Campylopterus falcatus,Campylopterus falcatus
Campylopterus phainopeplus,Campylopterus phainopeplus,Campylopterus phainopeplus,Campylopterus phainopeplus,Campylopterus phainopeplus
Campylopterus villaviscensio,Campylopterus villaviscensio,Campylopterus villaviscensio,Campylopterus villaviscensio,Campylopterus villaviscensio
Eupetomena macroura,Eupetomena macroura,Eupetomena macroura,Eupetomena macroura,Eupetomena macroura
Florisuga mellivora,Florisuga mellivora,Florisuga mellivora,Florisuga mellivora,Florisuga mellivora
Florisuga fusca,Florisuga fusca,Florisuga fusca,Florisuga fusca,Florisuga fusca
Colibri delphinae,Colibri delphinae,Colibri delphinae,Colibri delphinae,Colibri delphinae
Colibri thalassinus,Colibri thalassinus,Colibri thalassinus,Colibri thalassinus,Colibri thalassinus
Colibri coruscans,Colibri coruscans,Colibri coruscans,Colibri coruscans,Colibri coruscans
Colibri serrirostris,Colibri serrirostris,Colibri serrirostris,Colibri serrirostris,Colibri serrirostris
Anthracothorax viridigula,Anthracothorax viridigula,Anthracothorax viridigula,Anthracothorax viridigula,Anthracothorax viridigula
Anthracothorax prevostii,Anthracothorax prevostii,Anthracothorax prevostii,Anthracothorax prevostii,Anthracothorax prevostii
Anthracothorax veraguensis,Anthracothorax veraguensis,Anthracothorax veraguensis,Anthracothorax veraguensis,Anthracothorax veraguensis
Anthracothorax nigricollis,Anthracothorax nigricollis,Anthracothorax nigricollis,Anthracothorax nigricollis,Anthracothorax nigricollis
Anthracothorax mango,Anthracothorax mango,Anthracothorax mango,Anthracothorax mango,Anthracothorax mango
Anthracothorax dominicus,Anthracothorax dominicus,Anthracothorax dominicus,Anthracothorax dominicus,Anthracothorax dominicus
Anthracothorax viridis,Anthracothorax viridis,Anthracothorax viridis,Anthracothorax viridis,Anthracothorax viridis
Avocettula recurvirostris,Avocettula recurvirostris,Avocettula recurvirostris,Avocettula recurvirostris,Avocettula recurvirostris
Eulampis jugularis,Eulampis jugularis,Eulampis jugularis,Eulampis jugularis,Eulampis jugularis
Eulampis holosericeus,Eulampis holosericeus,Eulampis holosericeus,Eulampis holosericeus,Eulampis holosericeus
Chrysolampis mosquitus,Chrysolampis mosquitus,Chrysolampis mosquitus,Chrysolampis mosquitus,Chrysolampis mosquitus
Orthorhyncus cristatus,Orthorhyncus cristatus,Orthorhyncus cristatus,Orthorhyncus cristatus,Orthorhyncus cristatus
Klais guimeti,Klais guimeti,Klais guimeti,Klais guimeti,Klais guimeti
Abeillia abeillei,Abeillia abeillei,Abeillia abeillei,Abeillia abeillei,Abeillia abeillei
Stephanoxis lalandi,Stephanoxis lalandi,Stephanoxis lalandi,Stephanoxis lalandi,Stephanoxis lalandi
Lophornis ornatus,Lophornis ornatus,Lophornis ornatus,Lophornis ornatus,Lophornis ornatus
Lophornis gouldii,Lophornis gouldii,Lophornis gouldii,Lophornis gouldii,Lophornis gouldii
Lophornis magnificus,Lophornis magnificus,Lophornis magnificus,Lophornis magnificus,Lophornis magnificus
Lophornis brachylophus,Lophornis brachylophus,Lophornis brachylophus,Lophornis brachylophus,Lophornis brachylophus
Lophornis delattrei,Lophornis delattrei,Lophornis delattrei,Lophornis delattrei,Lophornis delattrei
Lophornis stictolophus,Lophornis stictolophus,Lophornis stictolophus,Lophornis stictolophus,Lophornis stictolophus
Lophornis chalybeus,Lophornis chalybeus,Lophornis chalybeus,Lophornis chalybeus,Lophornis chalybeus
Lophornis pavoninus,Lophornis pavoninus,Lophornis pavoninus,Lophornis pavoninus,Lophornis pavoninus
Lophornis helenae,Lophornis helenae,Lophornis helenae,Lophornis helenae,Lophornis helenae
Lophornis adorabilis,Lophornis adorabilis,Lophornis adorabilis,Lophornis adorabilis,Lophornis adorabilis
Discosura popelairii,Discosura popelairii,Discosura popelairii,Discosura popelairii,Discosura popelairii
Discosura langsdorffi,Discosura langsdorffi,Discosura langsdorffi,Discosura langsdorffi,Discosura langsdorffi
Discosura letitiae,Discosura letitiae,Discosura letitiae,Discosura letitiae,Discosura letitiae
Discosura conversii,Discosura conversii,Discosura conversii,Discosura conversii,Discosura conversii
Discosura longicaudus,Discosura longicaudus,Discosura longicaudus,Discosura longicaudus,Discosura longicaudus
Chlorestes notata,Chlorestes notata,Chlorestes notata,Chlorestes notata,Chlorestes notata
Chlorostilbon olivaresi,Chlorostilbon olivaresi,Chlorostilbon olivaresi,Chlorostilbon olivaresi,Chlorostilbon olivaresi
Chlorostilbon mellisugus,Chlorostilbon mellisugus,Chlorostilbon mellisugus,Chlorostilbon mellisugus,Chlorostilbon mellisugus
Chlorostilbon lucidus,Chlorostilbon lucidus,Chlorostilbon lucidus,Chlorostilbon lucidus,Chlorostilbon lucidus
Riccordia ricordii,Riccordia ricordii,Chlorostilbon ricordii,Riccordia ricordii,Riccordia ricordii
Riccordia swainsonii,Riccordia swainsonii,Chlorostilbon swainsonii,Riccordia swainsonii,Riccordia swainsonii
Riccordia maugaeus,Riccordia maugaeus,Chlorostilbon maugaeus,Riccordia maugaeus,Riccordia maugaeus
Chlorostilbon russatus,Chlorostilbon russatus,Chlorostilbon russatus,Chlorostilbon russatus,Chlorostilbon russatus
Chlorostilbon stenurus,Chlorostilbon stenurus,Chlorostilbon stenurus,Chlorostilbon stenurus,Chlorostilbon stenurus
Chlorostilbon alice,Chlorostilbon alice,Chlorostilbon alice,Chlorostilbon alice,Chlorostilbon alice
Chlorostilbon poortmani,Chlorostilbon poortmani,Chlorostilbon poortmani,Chlorostilbon poortmani,Chlorostilbon poortmani
Phaeoptila sordida,Phaeoptila sordida,Cynanthus sordidus,Phaeoptila sordida,Phaeoptila sordida
Cynanthus latirostris,Cynanthus latirostris,Cynanthus latirostris,Cynanthus latirostris,Cynanthus latirostris
Riccordia bicolor,Riccordia bicolor,Cyanophaia bicolor,Riccordia bicolor,Riccordia bicolor
Thalurania colombica,Thalurania colombica,Thalurania ridgwayi,Thalurania colombica,Thalurania colombica
Thalurania colombica,Thalurania colombica,Thalurania colombica,Thalurania colombica,Thalurania colombica
Thalurania furcata,Thalurania furcata,Thalurania furcata,Thalurania furcata,Thalurania furcata
Thalurania watertonii,Thalurania watertonii,Thalurania watertonii,Thalurania watertonii,Thalurania watertonii
Thalurania glaucopis,Thalurania glaucopis,Thalurania glaucopis,Thalurania glaucopis,Thalurania glaucopis
Panterpe insignis,Panterpe insignis,Panterpe insignis,Panterpe insignis,Panterpe insignis
Chlorestes julie,Chlorestes julie,Damophila julie,Chlorestes julie,Chlorestes julie
Chrysuronia coeruleogularis,Chrysuronia coeruleogularis,Lepidopyga coeruleogularis,Chrysuronia coeruleogularis,Chrysuronia coeruleogularis
Chrysuronia lilliae,Chrysuronia lilliae,Lepidopyga lilliae,Chrysuronia lilliae,Chrysuronia lilliae
Chrysuronia goudoti,Chrysuronia goudoti,Lepidopyga goudoti,Chrysuronia goudoti,Chrysuronia goudoti
Basilinna xantusii,Basilinna xantusii,Hylocharis xantusii,Basilinna xantusii,Basilinna xantusii
Basilinna leucotis,Basilinna leucotis,Hylocharis leucotis,Basilinna leucotis,Basilinna leucotis
Basilinna leucotis,Basilinna leucotis,Hylocharis eliciae,Basilinna leucotis,Basilinna leucotis
Hylocharis sapphirina,Hylocharis sapphirina,Hylocharis sapphirina,Hylocharis sapphirina,Hylocharis sapphirina
Hylocharis sapphirina,Hylocharis sapphirina,Hylocharis cyanus,Hylocharis sapphirina,Hylocharis sapphirina
Hylocharis chrysura,Hylocharis chrysura,Hylocharis chrysura,Hylocharis chrysura,Hylocharis chrysura
Hylocharis chrysura,Hylocharis chrysura,Hylocharis grayi,Hylocharis chrysura,Hylocharis chrysura
Chrysuronia oenone,Chrysuronia oenone,Chrysuronia oenone,Chrysuronia oenone,Chrysuronia oenone
Goldmania violiceps,Goldmania violiceps,Goldmania violiceps,Goldmania violiceps,Goldmania violiceps
Goldmania bella,Goldmania bella,Goethalsia bella,Goldmania bella,Goldmania bella
Trochilus polytmus,Trochilus polytmus,Trochilus polytmus,Trochilus polytmus,Trochilus polytmus
Leucochloris albicollis,Leucochloris albicollis,Leucochloris albicollis,Leucochloris albicollis,Leucochloris albicollis
Polytmus guainumbi,Polytmus guainumbi,Polytmus guainumbi,Polytmus guainumbi,Polytmus guainumbi
Polytmus milleri,Polytmus milleri,Polytmus milleri,Polytmus milleri,Polytmus milleri
Polytmus theresiae,Polytmus theresiae,Polytmus theresiae,Polytmus theresiae,Polytmus theresiae
Leucippus fallax,Leucippus fallax,Leucippus fallax,Leucippus fallax,Leucippus fallax
Thaumasius baeri,Thaumasius baeri,Leucippus baeri,Thaumasius baeri,Thaumasius baeri
Thaumasius taczanowskii,Thaumasius taczanowskii,Leucippus taczanowskii,Thaumasius taczanowskii,Thaumasius taczanowskii
Talaphorus chlorocercus,Talaphorus chlorocercus,Leucippus chlorocercus,Talaphorus chlorocercus,Talaphorus chlorocercus
Taphrospilus hypostictus,Taphrospilus hypostictus,Taphrospilus hypostictus,Taphrospilus hypostictus,Taphrospilus hypostictus
Elliotomyia viridicauda,Elliotomyia viridicauda,Amazilia viridicauda,Elliotomyia viridicauda,Elliotomyia viridicauda
Elliotomyia chionogaster,Elliotomyia chionogaster,Amazilia chionogaster,Elliotomyia chionogaster,Elliotomyia chionogaster
Chlorestes candida,Chlorestes candida,Amazilia candida,Chlorestes candida,Chlorestes candida
Chrysuronia brevirostris,Chrysuronia brevirostris,Amazilia brevirostris,Chrysuronia brevirostris,Chrysuronia brevirostris
Chrysuronia versicolor,Chrysuronia versicolor,Amazilia versicolor,Chrysuronia versicolor,Chrysuronia versicolor
Amazilia luciae,Amazilia luciae,Amazilia luciae,Amazilia luciae,Amazilia luciae
Chionomesa fimbriata,Chionomesa fimbriata,Amazilia fimbriata,Chionomesa fimbriata,Chionomesa fimbriata
Chionomesa lactea,Chionomesa lactea,Amazilia lactea,Chionomesa lactea,Chionomesa lactea
Polyerata amabilis,Polyerata amabilis,Amazilia amabilis,Polyerata amabilis,Polyerata amabilis
Polyerata rosenbergi,Polyerata rosenbergi,Amazilia rosenbergi,Polyerata rosenbergi,Polyerata rosenbergi
Amazilia boucardi,Amazilia boucardi,Amazilia boucardi,Amazilia boucardi,Amazilia boucardi
Uranomitra franciae,Uranomitra franciae,Amazilia franciae,Amazilia franciae,Uranomitra franciae
Chrysuronia leucogaster,Chrysuronia leucogaster,Amazilia leucogaster,Chrysuronia leucogaster,Chrysuronia leucogaster
Saucerottia cyanocephala,Saucerottia cyanocephala,Amazilia cyanocephala,Saucerottia cyanocephala,Saucerottia cyanocephala
Saucerottia cyanifrons,Saucerottia cyanifrons,Amazilia cyanifrons,Amazilia cyanifrons,Saucerottia cyanifrons
Saucerottia beryllina,Saucerottia beryllina,Amazilia beryllina,Saucerottia beryllina,Saucerottia beryllina
Saucerottia cyanura,Saucerottia cyanura,Amazilia cyanura,Saucerottia cyanura,Saucerottia cyanura
Saucerottia hoffmanni,Saucerottia hoffmanni,Amazilia saucerrottei,NA,Saucerottia hoffmanni
Saucerottia tobaci,Saucerottia tobaci,Amazilia tobaci,Saucerottia tobaci,Saucerottia tobaci
Saucerottia viridigaster,Saucerottia viridigaster,Amazilia viridigaster,Saucerottia viridigaster,Saucerottia viridigaster
Saucerottia edward,Saucerottia edward,Amazilia edward,Saucerottia edward,Saucerottia edward
Amazilia rutila,Amazilia rutila,Amazilia rutila,Amazilia rutila,Amazilia rutila
Amazilia yucatanensis,Amazilia yucatanensis,Amazilia yucatanensis,Amazilia yucatanensis,Amazilia yucatanensis
Amazilia tzacatl,Amazilia tzacatl,Amazilia tzacatl,Amazilia tzacatl,Amazilia tzacatl
Saucerottia castaneiventris,Saucerottia castaneiventris,Amazilia castaneiventris,Saucerottia castaneiventris,Saucerottia castaneiventris
Amazilis amazilia,Amazilis amazilia,Amazilia amazilia,Amazilis amazilia,Amazilis amazilia
Leucolia viridifrons,Leucolia viridifrons,Amazilia viridifrons,Leucolia viridifrons,Ramosomyia viridifrons
Leucolia violiceps,Leucolia violiceps,Amazilia violiceps,Leucolia violiceps,Ramosomyia violiceps
Eupherusa poliocerca,Eupherusa poliocerca,Eupherusa poliocerca,Eupherusa poliocerca,Eupherusa poliocerca
Eupherusa cyanophrys,Eupherusa cyanophrys,Eupherusa cyanophrys,Eupherusa cyanophrys,Eupherusa cyanophrys
Eupherusa eximia,Eupherusa eximia,Eupherusa eximia,Eupherusa eximia,Eupherusa eximia
Eupherusa nigriventris,Eupherusa nigriventris,Eupherusa nigriventris,Eupherusa nigriventris,Eupherusa nigriventris
Microchera chionura,Microchera chionura,Elvira chionura,Microchera chionura,Microchera chionura
Microchera cupreiceps,Microchera cupreiceps,Elvira cupreiceps,Microchera cupreiceps,Microchera cupreiceps
Microchera albocoronata,Microchera albocoronata,Microchera albocoronata,Microchera albocoronata,Microchera albocoronata
Chalybura buffonii,Chalybura buffonii,Chalybura buffonii,Chalybura buffonii,Chalybura buffonii
Chalybura urochrysia,Chalybura urochrysia,Chalybura urochrysia,Chalybura urochrysia,Chalybura urochrysia
Eupetomena cirrochloris,Eupetomena cirrochloris,Aphantochroa cirrochloris,Eupetomena cirrochloris,Eupetomena cirrochloris
Lampornis clemenciae,Lampornis clemenciae,Lampornis clemenciae,Lampornis clemenciae,Lampornis clemenciae
Lampornis amethystinus,Lampornis amethystinus,Lampornis amethystinus,Lampornis amethystinus,Lampornis amethystinus
Lampornis viridipallens,Lampornis viridipallens,Lampornis viridipallens,Lampornis viridipallens,Lampornis viridipallens
Lampornis sybillae,Lampornis sybillae,Lampornis sybillae,Lampornis sybillae,Lampornis sybillae
Lampornis hemileucus,Lampornis hemileucus,Lampornis hemileucus,Lampornis hemileucus,Lampornis hemileucus
Lampornis castaneoventris,Lampornis castaneoventris,Lampornis castaneoventris,Lampornis castaneoventris,Lampornis castaneoventris
Lamprolaima rhami,Lamprolaima rhami,Lamprolaima rhami,Lamprolaima rhami,Lamprolaima rhami
Adelomyia melanogenys,Adelomyia melanogenys,Adelomyia melanogenys,Adelomyia melanogenys,Adelomyia melanogenys
Anthocephala floriceps,Anthocephala floriceps,Anthocephala floriceps,Anthocephala floriceps,Anthocephala floriceps
Phlogophilus hemileucurus,Phlogophilus hemileucurus,Phlogophilus hemileucurus,Phlogophilus hemileucurus,Phlogophilus hemileucurus
Phlogophilus harterti,Phlogophilus harterti,Phlogophilus harterti,Phlogophilus harterti,Phlogophilus harterti
Heliodoxa rubricauda,Clytolaema rubricauda,Clytolaema rubricauda,NA,NA
Heliodoxa imperatrix,Heliodoxa imperatrix,Heliodoxa imperatrix,Heliodoxa imperatrix,Heliodoxa imperatrix
Heliodoxa xanthogonys,Heliodoxa xanthogonys,Heliodoxa xanthogonys,Heliodoxa xanthogonys,Heliodoxa xanthogonys
Heliodoxa gularis,Heliodoxa gularis,Heliodoxa gularis,Heliodoxa gularis,Heliodoxa gularis
Heliodoxa branickii,Heliodoxa branickii,Heliodoxa branickii,Heliodoxa branickii,Heliodoxa branickii
Heliodoxa schreibersii,Heliodoxa schreibersii,Heliodoxa schreibersii,Heliodoxa schreibersii,Heliodoxa schreibersii
Heliodoxa aurescens,Heliodoxa aurescens,Heliodoxa aurescens,Heliodoxa aurescens,Heliodoxa aurescens
Heliodoxa rubinoides,Heliodoxa rubinoides,Heliodoxa rubinoides,Heliodoxa rubinoides,Heliodoxa rubinoides
Heliodoxa jacula,Heliodoxa jacula,Heliodoxa jacula,Heliodoxa jacula,Heliodoxa jacula
Heliodoxa leadbeateri,Heliodoxa leadbeateri,Heliodoxa leadbeateri,Heliodoxa leadbeateri,Heliodoxa leadbeateri
Eugenes fulgens,Eugenes fulgens,Eugenes fulgens,Eugenes fulgens,Eugenes fulgens
Hylonympha macrocerca,Hylonympha macrocerca,Hylonympha macrocerca,Hylonympha macrocerca,Hylonympha macrocerca
Sternoclyta cyanopectus,Sternoclyta cyanopectus,Sternoclyta cyanopectus,Sternoclyta cyanopectus,Sternoclyta cyanopectus
Topaza pella,Topaza pella,Topaza pella,Topaza pella,Topaza pella
Oreotrochilus chimborazo,Oreotrochilus chimborazo,Oreotrochilus chimborazo,Oreotrochilus chimborazo,Oreotrochilus chimborazo
Oreotrochilus estella,Oreotrochilus estella,Oreotrochilus estella,Oreotrochilus estella,Oreotrochilus estella
Oreotrochilus leucopleurus,Oreotrochilus leucopleurus,Oreotrochilus leucopleurus,Oreotrochilus leucopleurus,Oreotrochilus leucopleurus
Oreotrochilus melanogaster,Oreotrochilus melanogaster,Oreotrochilus melanogaster,Oreotrochilus melanogaster,Oreotrochilus melanogaster
Oreotrochilus adela,Oreotrochilus adela,Oreotrochilus adela,Oreotrochilus adela,Oreotrochilus adela
Urochroa bougueri,Urochroa bougueri,Urochroa bougueri,Urochroa bougueri,Urochroa bougueri
Patagona gigas,Patagona gigas,Patagona gigas,Patagona gigas,Patagona gigas
Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis
Aglaeactis castelnaudii,Aglaeactis castelnaudii,Aglaeactis castelnaudii,Aglaeactis castelnaudii,Aglaeactis castelnaudii
Aglaeactis aliciae,Aglaeactis aliciae,Aglaeactis aliciae,Aglaeactis aliciae,Aglaeactis aliciae
Aglaeactis pamela,Aglaeactis pamela,Aglaeactis pamela,Aglaeactis pamela,Aglaeactis pamela
Lafresnaya lafresnayi,Lafresnaya lafresnayi,Lafresnaya lafresnayi,Lafresnaya lafresnayi,Lafresnaya lafresnayi
Pterophanes cyanopterus,Pterophanes cyanopterus,Pterophanes cyanopterus,Pterophanes cyanopterus,Pterophanes cyanopterus
Coeligena coeligena,Coeligena coeligena,Coeligena coeligena,Coeligena coeligena,Coeligena coeligena
Coeligena wilsoni,Coeligena wilsoni,Coeligena wilsoni,Coeligena wilsoni,Coeligena wilsoni
Coeligena prunellei,Coeligena prunellei,Coeligena prunellei,Coeligena prunellei,Coeligena prunellei
Coeligena torquata,Coeligena torquata,Coeligena torquata,Coeligena torquata,Coeligena torquata
Coeligena phalerata,Coeligena phalerata,Coeligena phalerata,Coeligena phalerata,Coeligena phalerata
Coeligena bonapartei,Coeligena bonapartei,Coeligena bonapartei,Coeligena bonapartei,Coeligena bonapartei
Coeligena helianthea,Coeligena helianthea,Coeligena helianthea,Coeligena helianthea,Coeligena helianthea
Coeligena lutetiae,Coeligena lutetiae,Coeligena lutetiae,Coeligena lutetiae,Coeligena lutetiae
Coeligena violifer,Coeligena violifer,Coeligena violifer,Coeligena violifer,Coeligena violifer
Coeligena iris,Coeligena iris,Coeligena iris,Coeligena iris,Coeligena iris
Ensifera ensifera,Ensifera ensifera,Ensifera ensifera,Ensifera ensifera,Ensifera ensifera
Sephanoides sephaniodes,Sephanoides sephaniodes,Sephanoides sephaniodes,Sephanoides sephaniodes,Sephanoides sephaniodes
Sephanoides fernandensis,Sephanoides fernandensis,Sephanoides fernandensis,Sephanoides fernandensis,Sephanoides fernandensis
Boissonneaua flavescens,Boissonneaua flavescens,Boissonneaua flavescens,Boissonneaua flavescens,Boissonneaua flavescens
Boissonneaua matthewsii,Boissonneaua matthewsii,Boissonneaua matthewsii,Boissonneaua matthewsii,Boissonneaua matthewsii
Boissonneaua jardini,Boissonneaua jardini,Boissonneaua jardini,Boissonneaua jardini,Boissonneaua jardini
Heliangelus mavors,Heliangelus mavors,Heliangelus mavors,Heliangelus mavors,Heliangelus mavors
Heliangelus amethysticollis,Heliangelus amethysticollis,Heliangelus amethysticollis,Heliangelus amethysticollis,Heliangelus amethysticollis
Heliangelus strophianus,Heliangelus strophianus,Heliangelus strophianus,Heliangelus strophianus,Heliangelus strophianus
Heliangelus exortis,Heliangelus exortis,Heliangelus exortis,Heliangelus exortis,Heliangelus exortis
Heliangelus viola,Heliangelus viola,Heliangelus viola,Heliangelus viola,Heliangelus viola
Heliangelus regalis,Heliangelus regalis,Heliangelus regalis,Heliangelus regalis,Heliangelus regalis
Eriocnemis nigrivestis,Eriocnemis nigrivestis,Eriocnemis nigrivestis,Eriocnemis nigrivestis,Eriocnemis nigrivestis
Eriocnemis vestita,Eriocnemis vestita,Eriocnemis vestita,Eriocnemis vestita,Eriocnemis vestita
Eriocnemis godini,Eriocnemis godini,Eriocnemis godini,Eriocnemis godini,Eriocnemis godini
Eriocnemis luciani,Eriocnemis luciani,Eriocnemis luciani,Eriocnemis luciani,Eriocnemis luciani
Eriocnemis cupreoventris,Eriocnemis cupreoventris,Eriocnemis cupreoventris,Eriocnemis cupreoventris,Eriocnemis cupreoventris
Eriocnemis mosquera,Eriocnemis mosquera,Eriocnemis mosquera,Eriocnemis mosquera,Eriocnemis mosquera
Eriocnemis glaucopoides,Eriocnemis glaucopoides,Eriocnemis glaucopoides,Eriocnemis glaucopoides,Eriocnemis glaucopoides
Eriocnemis mirabilis,Eriocnemis mirabilis,Eriocnemis mirabilis,Eriocnemis mirabilis,Eriocnemis mirabilis
Eriocnemis aline,Eriocnemis aline,Eriocnemis alinae,Eriocnemis aline,Eriocnemis aline
Eriocnemis derbyi,Eriocnemis derbyi,Eriocnemis derbyi,Eriocnemis derbyi,Eriocnemis derbyi
Haplophaedia aureliae,Haplophaedia aureliae,Haplophaedia aureliae,Haplophaedia aureliae,Haplophaedia aureliae
Haplophaedia lugens,Haplophaedia lugens,Haplophaedia lugens,Haplophaedia lugens,Haplophaedia lugens
Urosticte benjamini,Urosticte benjamini,Urosticte benjamini,Urosticte benjamini,Urosticte benjamini
Urosticte ruficrissa,Urosticte ruficrissa,Urosticte ruficrissa,Urosticte ruficrissa,Urosticte ruficrissa
Ocreatus underwoodii,Ocreatus underwoodii,Ocreatus underwoodii,Ocreatus underwoodii,Ocreatus underwoodii
Lesbia victoriae,Lesbia victoriae,Lesbia victoriae,Lesbia victoriae,Lesbia victoriae
Lesbia nuna,Lesbia nuna,Lesbia nuna,Lesbia nuna,Lesbia nuna
Sappho sparganurus,Sappho sparganurus,Sappho sparganura,Sappho sparganurus,Sappho sparganurus
Polyonymus caroli,Polyonymus caroli,Polyonymus caroli,Polyonymus caroli,Polyonymus caroli
Ramphomicron microrhynchum,Ramphomicron microrhynchum,Ramphomicron microrhynchum,Ramphomicron microrhynchum,Ramphomicron microrhynchum
Ramphomicron dorsale,Ramphomicron dorsale,Ramphomicron dorsale,Ramphomicron dorsale,Ramphomicron dorsale
Metallura williami,Metallura williami,Metallura williami,Metallura williami,Metallura williami
Metallura baroni,Metallura baroni,Metallura baroni,Metallura baroni,Metallura baroni
Metallura odomae,Metallura odomae,Metallura odomae,Metallura odomae,Metallura odomae
Metallura theresiae,Metallura theresiae,Metallura theresiae,Metallura theresiae,Metallura theresiae
Metallura eupogon,Metallura eupogon,Metallura eupogon,Metallura eupogon,Metallura eupogon
Metallura aeneocauda,Metallura aeneocauda,Metallura aeneocauda,Metallura aeneocauda,Metallura aeneocauda
Metallura phoebe,Metallura phoebe,Metallura phoebe,Metallura phoebe,Metallura phoebe
Metallura tyrianthina,Metallura tyrianthina,Metallura tyrianthina,Metallura tyrianthina,Metallura tyrianthina
Metallura iracunda,Metallura iracunda,Metallura iracunda,Metallura iracunda,Metallura iracunda
Chalcostigma ruficeps,Chalcostigma ruficeps,Chalcostigma ruficeps,Chalcostigma ruficeps,Chalcostigma ruficeps
Chalcostigma olivaceum,Chalcostigma olivaceum,Chalcostigma olivaceum,Chalcostigma olivaceum,Chalcostigma olivaceum
Chalcostigma stanleyi,Chalcostigma stanleyi,Chalcostigma stanleyi,Chalcostigma stanleyi,Chalcostigma stanleyi
Chalcostigma heteropogon,Chalcostigma heteropogon,Chalcostigma heteropogon,Chalcostigma heteropogon,Chalcostigma heteropogon
Chalcostigma herrani,Chalcostigma herrani,Chalcostigma herrani,Chalcostigma herrani,Chalcostigma herrani
Oxypogon guerinii,Oxypogon guerinii,Oxypogon guerinii,Oxypogon guerinii,Oxypogon guerinii
Opisthoprora euryptera,Opisthoprora euryptera,Opisthoprora euryptera,Opisthoprora euryptera,Opisthoprora euryptera
Taphrolesbia griseiventris,Taphrolesbia griseiventris,Taphrolesbia griseiventris,Taphrolesbia griseiventris,Taphrolesbia griseiventris
Aglaiocercus kingii,Aglaiocercus kingii,Aglaiocercus kingi,Aglaiocercus kingii,Aglaiocercus kingii
Aglaiocercus berlepschi,Aglaiocercus berlepschi,Aglaiocercus berlepschi,Aglaiocercus berlepschi,Aglaiocercus berlepschi
Aglaiocercus coelestis,Aglaiocercus coelestis,Aglaiocercus coelestis,Aglaiocercus coelestis,Aglaiocercus coelestis
Oreonympha nobilis,Oreonympha nobilis,Oreonympha nobilis,Oreonympha nobilis,Oreonympha nobilis
Augastes lumachella,Augastes lumachella,Augastes lumachella,Augastes lumachella,Augastes lumachella
Augastes scutatus,Augastes scutatus,Augastes scutatus,Augastes scutatus,Augastes scutatus
Schistes geoffroyi,Schistes geoffroyi,Schistes geoffroyi,Schistes geoffroyi,Schistes geoffroyi
Heliothryx barroti,Heliothryx barroti,Heliothryx barroti,Heliothryx barroti,Heliothryx barroti
Heliothryx auritus,Heliothryx auritus,Heliothryx auritus,Heliothryx auritus,Heliothryx auritus
Heliactin bilophus,Heliactin bilophus,Heliactin bilophus,Heliactin bilophus,Heliactin bilophus
Loddigesia mirabilis,Loddigesia mirabilis,Loddigesia mirabilis,Loddigesia mirabilis,Loddigesia mirabilis
Heliomaster constantii,Heliomaster constantii,Heliomaster constantii,Heliomaster constantii,Heliomaster constantii
Heliomaster longirostris,Heliomaster longirostris,Heliomaster longirostris,Heliomaster longirostris,Heliomaster longirostris
Heliomaster squamosus,Heliomaster squamosus,Heliomaster squamosus,Heliomaster squamosus,Heliomaster squamosus
Heliomaster furcifer,Heliomaster furcifer,Heliomaster furcifer,Heliomaster furcifer,Heliomaster furcifer
Rhodopis vesper,Rhodopis vesper,Rhodopis vesper,Rhodopis vesper,Rhodopis vesper
Thaumastura cora,Thaumastura cora,Thaumastura cora,Thaumastura cora,Thaumastura cora
Philodice bryantae,Philodice bryantae,Calliphlox bryantae,Philodice bryantae,Philodice bryantae
Philodice mitchellii,Philodice mitchellii,Calliphlox mitchellii,Philodice mitchellii,Philodice mitchellii
Doricha enicura,Doricha enicura,Doricha enicura,Doricha enicura,Doricha enicura
Doricha eliza,Doricha eliza,Doricha eliza,Doricha eliza,Doricha eliza
Tilmatura dupontii,Tilmatura dupontii,Tilmatura dupontii,Tilmatura dupontii,Tilmatura dupontii
Microstilbon burmeisteri,Microstilbon burmeisteri,Microstilbon burmeisteri,Microstilbon burmeisteri,Microstilbon burmeisteri
Calothorax lucifer,Calothorax lucifer,Calothorax lucifer,Calothorax lucifer,Calothorax lucifer
Calothorax pulcher,Calothorax pulcher,Calothorax pulcher,Calothorax pulcher,Calothorax pulcher
Archilochus colubris,Archilochus colubris,Archilochus colubris,Archilochus colubris,Archilochus colubris
