eBird_Clements_v2022,eBird_Clements_v2021,BirdLife_v3,BirdLife_v7,IOC_v13.1
Ortalis garrula,Ortalis garrula,Ortalis garrula,Ortalis garrula,Ortalis garrula
Ortalis ruficauda,Ortalis ruficauda,Ortalis ruficauda,Ortalis ruficauda,Ortalis ruficauda
Ortalis erythroptera,Ortalis erythroptera,Ortalis erythroptera,Ortalis erythroptera,Ortalis erythroptera
Ortalis wagleri,Ortalis wagleri,Ortalis wagleri,Ortalis wagleri,Ortalis wagleri
Ortalis poliocephala,Ortalis poliocephala,Ortalis poliocephala,Ortalis poliocephala,Ortalis poliocephala
Ortalis canicollis,Ortalis canicollis,Ortalis canicollis,Ortalis canicollis,Ortalis canicollis
Ortalis leucogastra,Ortalis leucogastra,Ortalis leucogastra,Ortalis leucogastra,Ortalis leucogastra
Ortalis guttata,Ortalis guttata,Ortalis guttata,Ortalis guttata,Ortalis guttata
Ortalis motmot,Ortalis motmot,Ortalis motmot,Ortalis motmot,Ortalis motmot
Ortalis superciliaris,Ortalis superciliaris,Ortalis superciliaris,Ortalis superciliaris,Ortalis superciliaris
Penelope argyrotis,Penelope argyrotis,Penelope argyrotis,Penelope argyrotis,Penelope argyrotis
Penelope barbata,Penelope barbata,Penelope barbata,Penelope barbata,Penelope barbata
Penelope ortoni,Penelope ortoni,Penelope ortoni,Penelope ortoni,Penelope ortoni
Penelope montagnii,Penelope montagnii,Penelope montagnii,Penelope montagnii,Penelope montagnii
Penelope marail,Penelope marail,Penelope marail,Penelope marail,Penelope marail
Penelope superciliaris,Penelope superciliaris,Penelope superciliaris,Penelope superciliaris,Penelope superciliaris
Penelope dabbenei,Penelope dabbenei,Penelope dabbenei,Penelope dabbenei,Penelope dabbenei
Penelope purpurascens,Penelope purpurascens,Penelope purpurascens,Penelope purpurascens,Penelope purpurascens
Penelope perspicax,Penelope perspicax,Penelope perspicax,Penelope perspicax,Penelope perspicax
Penelope albipennis,Penelope albipennis,Penelope albipennis,Penelope albipennis,Penelope albipennis
Penelope jacquacu,Penelope jacquacu,Penelope jacquacu,Penelope jacquacu,Penelope jacquacu
Penelope obscura,Penelope obscura,Penelope obscura,Penelope obscura,Penelope obscura
Penelope pileata,Penelope pileata,Penelope pileata,Penelope pileata,Penelope pileata
Penelope ochrogaster,Penelope ochrogaster,Penelope ochrogaster,Penelope ochrogaster,Penelope ochrogaster
Penelope jacucaca,Penelope jacucaca,Penelope jacucaca,Penelope jacucaca,Penelope jacucaca
Pipile pipile,Pipile pipile,Pipile pipile,Pipile pipile,Pipile pipile
Pipile cumanensis,Pipile cumanensis,Pipile cumanensis,Pipile cumanensis,Pipile cumanensis
Pipile cujubi,Pipile cujubi,Pipile cujubi,Pipile cujubi,Pipile cujubi
Pipile jacutinga,Pipile jacutinga,Pipile jacutinga,Pipile jacutinga,Pipile jacutinga
Aburria aburri,Aburria aburri,Aburria aburri,Aburria aburri,Aburria aburri
Chamaepetes unicolor,Chamaepetes unicolor,Chamaepetes unicolor,Chamaepetes unicolor,Chamaepetes unicolor
Chamaepetes goudotii,Chamaepetes goudotii,Chamaepetes goudotii,Chamaepetes goudotii,Chamaepetes goudotii
Penelopina nigra,Penelopina nigra,Penelopina nigra,Penelopina nigra,Penelopina nigra
Oreophasis derbianus,Oreophasis derbianus,Oreophasis derbianus,Oreophasis derbianus,Oreophasis derbianus
Nothocrax urumutum,Nothocrax urumutum,Nothocrax urumutum,Nothocrax urumutum,Nothocrax urumutum
Mitu tomentosum,Mitu tomentosum,Mitu tomentosum,Mitu tomentosum,Mitu tomentosum
Mitu salvini,Mitu salvini,Mitu salvini,Mitu salvini,Mitu salvini
Mitu tuberosum,Mitu tuberosum,Mitu tuberosum,Mitu tuberosum,Mitu tuberosum
Mitu mitu,Mitu mitu,Mitu mitu,Mitu mitu,Mitu mitu
Pauxi pauxi,Pauxi pauxi,Pauxi pauxi,Pauxi pauxi,Pauxi pauxi
Pauxi unicornis,Pauxi unicornis,Pauxi unicornis,Pauxi unicornis,Pauxi unicornis
Crax rubra,Crax rubra,Crax rubra,Crax rubra,Crax rubra
Crax alberti,Crax alberti,Crax alberti,Crax alberti,Crax alberti
Crax daubentoni,Crax daubentoni,Crax daubentoni,Crax daubentoni,Crax daubentoni
Crax alector,Crax alector,Crax alector,Crax alector,Crax alector
Crax globulosa,Crax globulosa,Crax globulosa,Crax globulosa,Crax globulosa
Crax fasciolata,Crax fasciolata,Crax fasciolata,Crax fasciolata,Crax fasciolata
Crax blumenbachii,Crax blumenbachii,Crax blumenbachii,Crax blumenbachii,Crax blumenbachii
Alectura lathami,Alectura lathami,Alectura lathami,Alectura lathami,Alectura lathami
Aepypodius arfakianus,Aepypodius arfakianus,Aepypodius arfakianus,Aepypodius arfakianus,Aepypodius arfakianus
Aepypodius bruijnii,Aepypodius bruijnii,Aepypodius bruijnii,Aepypodius bruijnii,Aepypodius bruijnii
Talegalla cuvieri,Talegalla cuvieri,Talegalla cuvieri,Talegalla cuvieri,Talegalla cuvieri
Talegalla fuscirostris,Talegalla fuscirostris,Talegalla fuscirostris,Talegalla fuscirostris,Talegalla fuscirostris
Talegalla jobiensis,Talegalla jobiensis,Talegalla jobiensis,Talegalla jobiensis,Talegalla jobiensis
Macrocephalon maleo,Macrocephalon maleo,Macrocephalon maleo,Macrocephalon maleo,Macrocephalon maleo
Megapodius nicobariensis,Megapodius nicobariensis,Megapodius nicobariensis,Megapodius nicobariensis,Megapodius nicobariensis
Megapodius cumingii,Megapodius cumingii,Megapodius cumingii,Megapodius cumingii,Megapodius cumingii
Megapodius bernsteinii,Megapodius bernsteinii,Megapodius bernsteinii,Megapodius bernsteinii,Megapodius bernsteinii
Megapodius reinwardt,Megapodius reinwardt,Megapodius reinwardt,Megapodius reinwardt,Megapodius reinwardt
Megapodius freycinet,Megapodius freycinet,Megapodius freycinet,Megapodius freycinet,Megapodius freycinet
Megapodius eremita,Megapodius eremita,Megapodius eremita,Megapodius eremita,Megapodius eremita
Megapodius layardi,Megapodius layardi,Megapodius layardi,Megapodius layardi,Megapodius layardi
Megapodius laperouse,Megapodius laperouse,Megapodius laperouse,Megapodius laperouse,Megapodius laperouse
Megapodius pritchardii,Megapodius pritchardii,Megapodius pritchardii,Megapodius pritchardii,Megapodius pritchardii
Eulipoa wallacei,Eulipoa wallacei,Eulipoa wallacei,Eulipoa wallacei,Eulipoa wallacei
Leipoa ocellata,Leipoa ocellata,Leipoa ocellata,Leipoa ocellata,Leipoa ocellata
Lerwa lerwa,Lerwa lerwa,Lerwa lerwa,Lerwa lerwa,Lerwa lerwa
Ammoperdix griseogularis,Ammoperdix griseogularis,Ammoperdix griseogularis,Ammoperdix griseogularis,Ammoperdix griseogularis
Ammoperdix heyi,Ammoperdix heyi,Ammoperdix heyi,Ammoperdix heyi,Ammoperdix heyi
Tetraogallus caucasicus,Tetraogallus caucasicus,Tetraogallus caucasicus,Tetraogallus caucasicus,Tetraogallus caucasicus
Tetraogallus caspius,Tetraogallus caspius,Tetraogallus caspius,Tetraogallus caspius,Tetraogallus caspius
Tetraogallus tibetanus,Tetraogallus tibetanus,Tetraogallus tibetanus,Tetraogallus tibetanus,Tetraogallus tibetanus
Tetraogallus altaicus,Tetraogallus altaicus,Tetraogallus altaicus,Tetraogallus altaicus,Tetraogallus altaicus
Tetraogallus himalayensis,Tetraogallus himalayensis,Tetraogallus himalayensis,Tetraogallus himalayensis,Tetraogallus himalayensis
Tetraophasis obscurus,Tetraophasis obscurus,Tetraophasis obscurus,Tetraophasis obscurus,Tetraophasis obscurus
Tetraophasis szechenyii,Tetraophasis szechenyii,Tetraophasis szechenyii,Tetraophasis szechenyii,Tetraophasis szechenyii
Alectoris barbara,Alectoris barbara,Alectoris barbara,Alectoris barbara,Alectoris barbara
Alectoris melanocephala,Alectoris melanocephala,Alectoris melanocephala,Alectoris melanocephala,Alectoris melanocephala
Alectoris chukar,Alectoris chukar,Alectoris chukar,Alectoris chukar,Alectoris chukar
Alectoris philbyi,Alectoris philbyi,Alectoris philbyi,Alectoris philbyi,Alectoris philbyi
Alectoris magna,Alectoris magna,Alectoris magna,Alectoris magna,Alectoris magna
Alectoris graeca,Alectoris graeca,Alectoris graeca,Alectoris graeca,Alectoris graeca
Alectoris rufa,Alectoris rufa,Alectoris rufa,Alectoris rufa,Alectoris rufa
Francolinus francolinus,Francolinus francolinus,Francolinus francolinus,Francolinus francolinus,Francolinus francolinus
Francolinus pictus,Francolinus pictus,Francolinus pictus,Francolinus pictus,Francolinus pictus
Francolinus pintadeanus,Francolinus pintadeanus,Francolinus pintadeanus,Francolinus pintadeanus,Francolinus pintadeanus
Ortygornis pondicerianus,Ortygornis pondicerianus,Francolinus pondicerianus,Ortygornis pondicerianus,Ortygornis pondicerianus
Ortygornis gularis,Ortygornis gularis,Francolinus gularis,Ortygornis gularis,Ortygornis gularis
Campocolinus coqui,Campocolinus coqui,Francolinus coqui,Campocolinus coqui,Campocolinus coqui
Campocolinus albogularis,Campocolinus albogularis,Francolinus albogularis,Campocolinus albogularis,Campocolinus albogularis
Campocolinus schlegelii,Campocolinus schlegelii,Francolinus schlegelii,Campocolinus schlegelii,Campocolinus schlegelii
Peliperdix lathami,Peliperdix lathami,Francolinus lathami,Peliperdix lathami,Peliperdix lathami
Ortygornis sephaena,Ortygornis sephaena,Francolinus sephaena,Ortygornis sephaena,Ortygornis sephaena
Scleroptila streptophora,Scleroptila streptophora,Francolinus streptophorus,Scleroptila streptophora,Scleroptila streptophora
Scleroptila finschi,Scleroptila finschi,Francolinus finschi,Scleroptila finschi,Scleroptila finschi
Scleroptila psilolaema,Scleroptila psilolaema,Francolinus africanus,Scleroptila psilolaema,Scleroptila psilolaema
Scleroptila levaillantii,Scleroptila levaillantii,Francolinus levaillantii,Scleroptila levaillantii,Scleroptila levaillantii
Scleroptila psilolaema,Scleroptila psilolaema,Francolinus psilolaemus,Scleroptila psilolaema,Scleroptila psilolaema
Scleroptila shelleyi,Scleroptila shelleyi,Francolinus shelleyi,Scleroptila shelleyi,Scleroptila shelleyi
Scleroptila gutturalis,Scleroptila gutturalis,Francolinus levaillantoides,Scleroptila gutturalis,Scleroptila gutturalis
Ptilopachus nahani,Ptilopachus nahani,Francolinus nahani,Ptilopachus nahani,Ptilopachus nahani
Pternistis hartlaubi,Pternistis hartlaubi,Francolinus hartlaubi,Pternistis hartlaubi,Pternistis hartlaubi
Pternistis bicalcaratus,Pternistis bicalcaratus,Francolinus bicalcaratus,Pternistis bicalcaratus,Pternistis bicalcaratus
Pternistis clappertoni,Pternistis clappertoni,Francolinus clappertoni,Pternistis clappertoni,Pternistis clappertoni
Pternistis icterorhynchus,Pternistis icterorhynchus,Francolinus icterorhynchus,Pternistis icterorhynchus,Pternistis icterorhynchus
Pternistis harwoodi,Pternistis harwoodi,Francolinus harwoodi,Pternistis harwoodi,Pternistis harwoodi
Pternistis adspersus,Pternistis adspersus,Francolinus adspersus,Pternistis adspersus,Pternistis adspersus
Pternistis capensis,Pternistis capensis,Francolinus capensis,Pternistis capensis,Pternistis capensis
Pternistis hildebrandti,Pternistis hildebrandti,Francolinus hildebrandti,Pternistis hildebrandti,Pternistis hildebrandti
Pternistis natalensis,Pternistis natalensis,Francolinus natalensis,Pternistis natalensis,Pternistis natalensis
Pternistis ahantensis,Pternistis ahantensis,Francolinus ahantensis,Pternistis ahantensis,Pternistis ahantensis
Pternistis squamatus,Pternistis squamatus,Francolinus squamatus,Pternistis squamatus,Pternistis squamatus
Pternistis griseostriatus,Pternistis griseostriatus,Francolinus griseostriatus,Pternistis griseostriatus,Pternistis griseostriatus
Pternistis leucoscepus,Pternistis leucoscepus,Francolinus leucoscepus,Pternistis leucoscepus,Pternistis leucoscepus
Pternistis rufopictus,Pternistis rufopictus,Francolinus rufopictus,Pternistis rufopictus,Pternistis rufopictus
Pternistis afer,Pternistis afer,Francolinus afer,Pternistis afer,Pternistis afer
Pternistis swainsonii,Pternistis swainsonii,Francolinus swainsonii,Pternistis swainsonii,Pternistis swainsonii
Pternistis erckelii,Pternistis erckelii,Francolinus erckelii,Pternistis erckelii,Pternistis erckelii
Pternistis ochropectus,Pternistis ochropectus,Francolinus ochropectus,Pternistis ochropectus,Pternistis ochropectus
Pternistis castaneicollis,Pternistis castaneicollis,Francolinus castaneicollis,Pternistis castaneicollis,Pternistis castaneicollis
Pternistis nobilis,Pternistis nobilis,Francolinus nobilis,Pternistis nobilis,Pternistis nobilis
Pternistis jacksoni,Pternistis jacksoni,Francolinus jacksoni,Pternistis jacksoni,Pternistis jacksoni
Pternistis camerunensis,Pternistis camerunensis,Francolinus camerunensis,Pternistis camerunensis,Pternistis camerunensis
Pternistis swierstrai,Pternistis swierstrai,Francolinus swierstrai,Pternistis swierstrai,Pternistis swierstrai
Perdix perdix,Perdix perdix,Perdix perdix,Perdix perdix,Perdix perdix
